i;word;anzahl;rangRatio;p;pSumCount;Abw
1;the;1148.0;1.0;0.2337;2443.8226;-1.1288
2;to;753.0;0.5;0.1169;1221.9113;-0.6227
3;and;642.0;0.3333;0.0779;814.6075;-0.2689
4;he;590.0;0.25;0.0584;610.9556;-0.0355
5;his;550.0;0.2;0.0467;488.7645;0.1113
6;of;429.0;0.1667;0.039;407.3038;0.0506
7;was;409.0;0.1429;0.0334;349.1175;0.1464
8;it;370.0;0.125;0.0292;305.4778;0.1744
9;had;352.0;0.1111;0.026;271.5358;0.2286
10;in;348.0;0.1;0.0234;244.3823;0.2978
11;that;345.0;0.0909;0.0212;222.1657;0.356
12;gregor;298.0;0.0833;0.0195;203.6519;0.3166
13;a;285.0;0.0769;0.018;187.9864;0.3404
14;as;242.0;0.0714;0.0167;174.5588;0.2787
15;she;200.0;0.0667;0.0156;162.9215;0.1854
16;with;199.0;0.0625;0.0146;152.7389;0.2325
17;s;194.0;0.0588;0.0137;143.7543;0.259
18;him;188.0;0.0556;0.013;135.7679;0.2778
19;would;187.0;0.0526;0.0123;128.6222;0.3122
20;her;187.0;0.05;0.0117;122.1911;0.3466
21;not;176.0;0.0476;0.0111;116.3725;0.3388
22;but;171.0;0.0455;0.0106;111.0828;0.3504
23;at;169.0;0.0435;0.0102;106.2532;0.3713
24;for;166.0;0.0417;0.0097;101.8259;0.3866
25;they;160.0;0.04;0.0093;97.7529;0.389
26;on;152.0;0.0385;0.009;93.9932;0.3816
27;all;135.0;0.037;0.0087;90.5119;0.3295
28;room;131.0;0.0357;0.0083;87.2794;0.3337
29;be;119.0;0.0345;0.0081;84.2697;0.2919
30;from;119.0;0.0333;0.0078;81.4608;0.3155
31;could;119.0;0.0323;0.0075;78.833;0.3375
32;out;114.0;0.0313;0.0073;76.3695;0.3301
33;have;107.0;0.0303;0.0071;74.0552;0.3079
34;there;106.0;0.0294;0.0069;71.8771;0.3219
35;if;103.0;0.0286;0.0067;69.8235;0.3221
36;father;102.0;0.0278;0.0065;67.884;0.3345
37;been;101.0;0.027;0.0063;66.0493;0.346
38;sister;101.0;0.0263;0.0062;64.3111;0.3633
39;so;97.0;0.0256;0.006;62.6621;0.354
40;this;92.0;0.025;0.0058;61.0956;0.3359
